CMDLINE C:\Users\15360\anaconda3\envs\nanoGPT\python.exe Code_Analysis/gpt2sample.py
MEM 1.707031 1745132571.8523
MEM 17.332031 1745132571.9635
MEM 25.332031 1745132572.0734
MEM 31.207031 1745132572.1824
MEM 35.816406 1745132572.2910
MEM 40.050781 1745132572.3984
MEM 44.320312 1745132572.5064
MEM 47.203125 1745132572.6159
MEM 175.101562 1745132572.7244
MEM 209.730469 1745132572.8334
MEM 225.703125 1745132572.9437
MEM 235.523438 1745132573.0519
MEM 250.898438 1745132573.1616
MEM 276.070312 1745132573.2700
MEM 286.843750 1745132573.3777
MEM 295.812500 1745132573.4869
MEM 298.605469 1745132573.5943
MEM 305.175781 1745132573.7016
MEM 307.226562 1745132573.8098
MEM 311.371094 1745132573.9194
MEM 313.191406 1745132574.0265
MEM 316.988281 1745132574.1359
MEM 320.792969 1745132574.2451
MEM 323.484375 1745132574.3548
MEM 323.851562 1745132574.4637
MEM 324.082031 1745132574.5711
MEM 326.378906 1745132574.6770
MEM 329.828125 1745132574.7863
MEM 333.992188 1745132574.8939
MEM 339.929688 1745132575.0038
MEM 404.726562 1745132575.1136
MEM 452.808594 1745132575.2231
MEM 453.792969 1745132575.3314
MEM 453.824219 1745132575.4400
MEM 453.824219 1745132575.5460
MEM 454.597656 1745132575.6555
MEM 455.019531 1745132575.7629
MEM 455.417969 1745132575.8694
MEM 456.925781 1745132575.9756
MEM 457.187500 1745132576.0842
MEM 457.398438 1745132576.1933
MEM 457.632812 1745132576.3012
MEM 458.234375 1745132576.4087
MEM 458.851562 1745132576.5156
MEM 458.851562 1745132576.6225
MEM 458.855469 1745132576.7311
MEM 458.855469 1745132576.8400
MEM 459.046875 1745132576.9474
MEM 459.617188 1745132577.0554
MEM 460.449219 1745132577.1642
MEM 460.941406 1745132577.2722
MEM 461.171875 1745132577.3820
MEM 461.761719 1745132577.4913
MEM 462.113281 1745132577.5997
MEM 462.773438 1745132577.7069
MEM 462.898438 1745132577.8144
MEM 462.914062 1745132577.9210
MEM 463.832031 1745132578.0290
MEM 464.304688 1745132578.1367
MEM 464.808594 1745132578.2452
MEM 464.902344 1745132578.3526
MEM 465.683594 1745132578.4616
MEM 466.550781 1745132578.5701
MEM 467.285156 1745132578.6799
MEM 468.847656 1745132578.7891
MEM 469.046875 1745132578.8969
MEM 469.093750 1745132579.0041
MEM 469.132812 1745132579.1121
MEM 469.167969 1745132579.2200
MEM 469.203125 1745132579.3271
MEM 469.316406 1745132579.4374
MEM 469.367188 1745132579.5459
MEM 469.660156 1745132579.6560
MEM 469.710938 1745132579.7650
MEM 469.976562 1745132579.8728
MEM 470.058594 1745132579.9803
MEM 470.312500 1745132580.0892
MEM 470.332031 1745132580.1958
MEM 470.378906 1745132580.3044
MEM 470.507812 1745132580.4109
MEM 470.625000 1745132580.5193
MEM 471.113281 1745132580.6273
MEM 471.207031 1745132580.7343
MEM 471.207031 1745132580.8434
MEM 471.207031 1745132580.9523
MEM 471.535156 1745132581.0623
MEM 471.542969 1745132581.1682
MEM 471.542969 1745132581.2745
MEM 471.546875 1745132581.3833
MEM 471.546875 1745132581.4914
MEM 471.589844 1745132581.6010
MEM 471.601562 1745132581.7094
MEM 473.230469 1745132581.8174
MEM 475.355469 1745132581.9273
MEM 476.750000 1745132582.0356
MEM 478.039062 1745132582.1450
MEM 480.949219 1745132582.2540
MEM 483.859375 1745132582.3661
MEM 484.691406 1745132582.4722
MEM 485.843750 1745132582.5791
MEM 486.933594 1745132582.6871
MEM 487.996094 1745132582.7962
MEM 490.523438 1745132582.9059
MEM 492.101562 1745132583.0153
MEM 493.507812 1745132583.1249
MEM 495.769531 1745132583.2356
MEM 496.242188 1745132583.3423
MEM 499.535156 1745132583.4487
MEM 500.500000 1745132583.5552
MEM 501.113281 1745132583.6647
MEM 501.265625 1745132583.7727
MEM 502.968750 1745132583.8799
MEM 504.539062 1745132583.9875
MEM 506.324219 1745132584.0945
MEM 506.980469 1745132584.2041
MEM 508.093750 1745132584.3116
MEM 508.203125 1745132584.4178
MEM 508.324219 1745132584.5267
MEM 508.457031 1745132584.6375
MEM 508.570312 1745132584.7450
MEM 509.070312 1745132584.8523
MEM 509.769531 1745132584.9629
MEM 510.656250 1745132585.0717
MEM 514.085938 1745132585.1795
MEM 515.035156 1745132585.2874
MEM 516.246094 1745132585.3971
MEM 517.042969 1745132585.5068
MEM 517.253906 1745132585.6140
MEM 518.996094 1745132585.7214
MEM 519.781250 1745132585.8282
MEM 520.253906 1745132585.9360
MEM 521.328125 1745132586.0460
MEM 522.542969 1745132586.1555
MEM 522.714844 1745132586.2666
MEM 522.730469 1745132586.3729
MEM 522.730469 1745132586.4824
MEM 522.738281 1745132586.5894
MEM 522.738281 1745132586.6965
MEM 523.296875 1745132586.8052
MEM 526.593750 1745132586.9125
MEM 526.605469 1745132587.0208
MEM 526.609375 1745132587.1309
MEM 526.613281 1745132587.2407
MEM 527.285156 1745132587.3504
MEM 527.984375 1745132587.4571
MEM 528.332031 1745132587.5691
MEM 528.738281 1745132587.6788
MEM 529.332031 1745132587.7865
MEM 529.460938 1745132587.8932
MEM 531.199219 1745132588.0033
MEM 531.843750 1745132588.1121
MEM 532.656250 1745132588.2205
MEM 533.144531 1745132588.3286
MEM 533.867188 1745132588.4363
MEM 534.304688 1745132588.5442
MEM 535.363281 1745132588.6525
MEM 535.632812 1745132588.7600
MEM 535.824219 1745132588.8690
MEM 552.355469 1745132588.9786
MEM 650.671875 1745132589.0864
MEM 705.828125 1745132589.1946
MEM 794.968750 1745132589.3041
MEM 872.046875 1745132589.4146
MEM 959.562500 1745132589.5252
MEM 1049.023438 1745132589.6336
MEM 1125.957031 1745132589.7418
MEM 1158.906250 1745132589.8498
MEM 1158.910156 1745132589.9574
MEM 1158.921875 1745132590.0646
MEM 1158.921875 1745132590.1735
MEM 1158.921875 1745132590.2815
MEM 1158.921875 1745132590.3934
MEM 1158.921875 1745132590.5033
MEM 1158.921875 1745132590.6141
MEM 1160.937500 1745132590.7229
MEM 1161.015625 1745132590.8327
MEM 1161.015625 1745132590.9401
MEM 1161.015625 1745132591.0468
MEM 1161.015625 1745132591.1555
MEM 1161.015625 1745132591.2634
MEM 1161.015625 1745132591.3733
MEM 1161.015625 1745132591.4811
MEM 1161.015625 1745132591.5899
MEM 1161.433594 1745132591.6987
MEM 1033.179688 1745132591.8063
MEM 1033.968750 1745132591.9168
MEM 1034.277344 1745132592.0271
MEM 1034.277344 1745132592.1353
MEM 1208.417969 1745132592.2413
MEM 1334.628906 1745132592.3494
MEM 1454.937500 1745132592.4584
MEM 1098.363281 1745132592.5658
MEM 1033.937500 1745132592.6725
MEM 1033.964844 1745132592.7814
MEM 1033.722656 1745132592.8912
MEM 1049.156250 1745132592.9983
MEM 1066.535156 1745132593.1071
MEM 1060.082031 1745132593.2139
MEM 1261.523438 1745132593.3233
MEM 1446.644531 1745132593.4315
MEM 1519.261719 1745132593.5390
MEM 1523.394531 1745132593.6478
MEM 1523.417969 1745132593.7567
MEM 1523.417969 1745132593.8645
MEM 1523.453125 1745132593.9725
MEM 1523.453125 1745132594.0823
MEM 1523.484375 1745132594.1899
MEM 1523.484375 1745132594.2976
MEM 1523.484375 1745132594.4049
MEM 1523.515625 1745132594.5136
MEM 1523.527344 1745132594.6243
MEM 1523.527344 1745132594.7333
MEM 1523.558594 1745132594.8406
MEM 1523.558594 1745132594.9487
MEM 1523.558594 1745132595.0584
MEM 1523.589844 1745132595.1688
MEM 1523.601562 1745132595.2789
MEM 1523.601562 1745132595.3860
MEM 1523.667969 1745132595.4954
MEM 1523.667969 1745132595.6035
MEM 1523.812500 1745132595.7100
MEM 1523.812500 1745132595.8171
MEM 1523.812500 1745132595.9247
MEM 1523.812500 1745132596.0332
MEM 1523.812500 1745132596.1402
MEM 1523.812500 1745132596.2490
MEM 1523.812500 1745132596.3576
MEM 1523.812500 1745132596.4635
MEM 1523.812500 1745132596.5710
MEM 1523.812500 1745132596.6794
MEM 1523.812500 1745132596.7901
MEM 1523.812500 1745132596.8993
MEM 1523.812500 1745132597.0067
MEM 1523.812500 1745132597.1158
MEM 1523.812500 1745132597.2244
MEM 1523.812500 1745132597.3335
MEM 1523.812500 1745132597.4410
MEM 1523.812500 1745132597.5476
MEM 1523.812500 1745132597.6534
MEM 1523.812500 1745132597.7631
MEM 1523.812500 1745132597.8706
MEM 1523.812500 1745132597.9772
MEM 1523.812500 1745132598.0849
MEM 1523.812500 1745132598.1938
MEM 1523.812500 1745132598.3039
MEM 1523.812500 1745132598.4125
MEM 1523.812500 1745132598.5219
MEM 1523.812500 1745132598.6310
MEM 1523.812500 1745132598.7388
MEM 1523.812500 1745132598.8459
MEM 1523.812500 1745132598.9546
MEM 1523.812500 1745132599.0652
MEM 1523.812500 1745132599.1737
MEM 1523.812500 1745132599.2833
MEM 1523.812500 1745132599.3917
MEM 1523.812500 1745132599.4992
MEM 1523.812500 1745132599.6072
MEM 1523.812500 1745132599.7167
MEM 1523.812500 1745132599.8247
MEM 1523.812500 1745132599.9333
MEM 1523.812500 1745132600.0399
MEM 1523.812500 1745132600.1467
MEM 1523.812500 1745132600.2560
MEM 1523.812500 1745132600.3655
MEM 1523.812500 1745132600.4746
MEM 1523.812500 1745132600.5838
MEM 1523.812500 1745132600.6931
MEM 1523.812500 1745132600.8082
